eventId,title,category,description,tags,venue,day,time,durationMinutes,capacity,priceINR,registrationOpen
e_014,Business Quiz,Quiz,"A team-based business and finance quiz covering corporate history stock markets entrepreneurship brand stories marketing and economics. Teams of 3 compete across audio visual and written rounds. Questions span domestic and international business scenarios. Prizes include internship opportunities from sponsor companies.",business quiz finance marketing economics brands entrepreneurship corporate team knowledge,Lecture Hall 1,2,14:00,180,60,0,true
e_015,Science and Tech Quiz,Quiz,"A comprehensive quiz covering science technology engineering and mathematics. Questions span physics chemistry biology computer science space exploration and emerging technologies like AI and quantum computing. Teams of 2 compete in buzzer rapid-fire and visual rounds. Separate tracks for pure science and applied technology.",science technology engineering mathematics quiz physics chemistry biology AI quantum space buzzer,Lecture Hall 2,1,11:00,180,80,0,true
e_016,Pop Culture Quiz,Quiz,"A fun trivia competition covering movies music television anime sports celebrities memes and internet culture. Solo participation with buzzer rounds. Perfect for those who binge Netflix follow sports closely and scroll social media. Questions range from 2000s nostalgia to current 2025 trends.",pop-culture quiz movies music tv anime sports celebrities memes internet nostalgia trivia fun,Cultural Hall,3,11:00,120,100,0,true
e_017,Hackathon 24H,Tech,"A 24-hour non-stop coding hackathon where teams of up to 4 build working software solutions for real-world problems. Problem statements released at start. Domains include health tech ed tech sustainability fintech and social impact. Mentors from industry available for guidance. Prizes include cash internships and incubation opportunities.",hackathon coding programming software development 24-hours team tech health-tech fintech sustainability,Computer Science Building,1,09:00,1440,100,0,false
e_018,Robotics Challenge,Tech,"A robotics competition where teams design build and program autonomous robots to complete obstacle course tasks. Categories include line-following maze-solving and pick-and-place challenges. Both hardware and software components evaluated. Arduino Raspberry Pi and custom PCB designs allowed. Teams present their design documentation.",robotics autonomous programming arduino raspberry-pi hardware software obstacle-course engineering challenge,Engineering Lab,2,10:00,360,80,0,false
e_019,App Development Contest,Tech,"A day-long mobile and web application development competition. Teams of 3 build a functional app from scratch based on a given theme. Apps judged on UI/UX functionality innovation and technical complexity. Presentations and live demos required. Cross-platform development tools like Flutter and React Native encouraged.",app-development mobile web ui-ux flutter react-native programming innovation demo competition,Computer Science Building,2,09:00,480,60,0,true
e_020,Cybersecurity CTF,Tech,"A Capture The Flag cybersecurity competition where participants solve hacking challenges across web exploitation cryptography reverse engineering binary exploitation and forensics. Individual participation. Challenges range from beginner to advanced. A safe legal environment to test ethical hacking and security skills.",ctf cybersecurity hacking ethical-hacking cryptography forensics web-exploitation security challenge individual,Server Room,3,10:00,360,40,0,true
e_021,Photography Contest,Art,"An open photography contest accepting entries across genres including portrait street architecture nature macro and abstract. Entries submitted as digital prints. Judged on composition lighting storytelling and technical quality. A dedicated dark room for film photography enthusiasts. Exhibition of top entries during the fest.",photography portrait street architecture nature macro abstract composition lighting exhibition art contest,Exhibition Hall,1,09:00,4320,150,0,true
e_022,Sketching Competition,Art,"A timed on-the-spot sketching competition where participants create pencil charcoal or ink drawings based on a given theme revealed at start. Two time slots of 2 hours each. Judged on creativity technical skill composition and theme adherence. Materials provided or participants can bring their own.",sketching drawing pencil charcoal ink on-the-spot timed competition art creativity composition,Art Studio,1,10:00,120,80,0,true
e_023,Digital Art Contest,Art,"A digital art and graphic design competition where participants create illustrations posters or motion graphics using tools like Procreate Adobe Illustrator Photoshop or Blender. Submitted as digital files. Categories include illustration typography motion-design and 3D art. Portfolio judged by professional designers.",digital-art graphic-design illustration photoshop illustrator blender typography 3D motion-design portfolio,Computer Lab B,2,09:00,480,50,0,true
e_024,Face Painting and Body Art,Art,"A collaborative face and body art event where professional and amateur artists create temporary artworks on willing participants. Themes include tribal mythological fantasy and geometric designs. Open to both artists and participants. Non-toxic paints only. Running showcase throughout all three days of the festival.",face-painting body-art tribal mythological fantasy geometric temporary collaborative showcase,Open Grounds,1,10:00,3600,200,0,true
e_025,Stand Up Comedy Open Mic,Comedy,"An open microphone stand up comedy event where amateur and semi-professional comedians perform 5 to 10 minute sets. Material can cover everyday life campus experiences relationships politics and self-deprecation. Clean and crowd-friendly material encouraged. Sign up on the day. Multiple rounds throughout the evening.",stand-up comedy open-mic humor jokes amateur 5-minute-set campus-humor everyday-life performance,Cultural Hall,1,21:00,120,300,0,true
e_026,Improv Comedy Night,Comedy,"A long-form improvisational comedy show where performers create scenes characters and stories entirely in the moment based on audience suggestions. Styles include Harold format short-form games and musical improv. A professional improv troupe performs followed by open jam session.",improv comedy improvisation audience-suggestions spontaneous scenes characters funny long-form short-form,Cultural Hall,2,21:00,90,300,0,true
e_027,Roast Battle,Comedy,"A comedy roast competition in the style of the famous roast format where comedians creatively insult and mock each other with wit and wordplay. Judged by panel and audience applause meter. Good-natured humor required. No personal attacks. Quick wit clever writing and delivery matter most.",roast-battle comedy wit wordplay humor competition clever insults judged audience-vote funny,Amphitheatre,3,20:00,90,500,0,true
e_028,Creative Writing Contest,Literary,"A creative writing competition with three tracks - short fiction poetry and personal essay. Participants write on a given prompt revealed at the start. 3-hour timed session. Judged on language creativity narrative structure and emotional impact. Submissions accepted in English and Hindi.",creative-writing fiction poetry essay prompt timed language narrative English Hindi literary competition,Library Hall,2,10:00,180,60,0,true
e_029,Storytelling Festival,Literary,"An oral storytelling event where participants narrate original or traditional stories to an audience without visual aids or props. Styles include folk tales mythology contemporary fiction and personal narrative. 10-minute slots. Judged on narrative arc voice modulation character building and audience engagement.",storytelling oral narrative folk-tales mythology character voice-modulation audience-engagement personal literary,Cultural Hall,3,14:00,120,150,0,true
e_030,Poetry Slam,Literary,"A competitive poetry performance event combining spoken word poetry with theatrical delivery. Poems must be original and performed from memory. Topics range from love identity politics social justice and personal experience. Judged equally on content delivery and audience impact. 3 minutes maximum per poem.",poetry slam spoken-word performance original identity love politics social-justice theatrical delivery,Amphitheatre,1,19:00,90,200,0,true
e_031,Treasure Hunt,Adventure,"A large-scale campus-wide treasure hunt where teams solve a chain of riddles clues and puzzles to locate checkpoints across the festival grounds. Teams of 4 to 6. Clues combine wordplay lateral thinking logical puzzles and physical tasks. The first team to reach all checkpoints and finish wins.",treasure-hunt adventure riddles puzzles campus team lateral-thinking logical physical teamwork,Entire Campus,2,09:00,300,80,0,false
e_032,Tug of War,Sports,"A classic tug of war tournament with teams of 8 competing in a knockout format. Both mixed and open category available. Teams must wear proper footwear. Quick rounds with cheering crowds create an electric atmosphere. One of the most crowd-pleasing events of the entire festival.",tug-of-war sports team physical strength competition outdoor knockout tournament crowd-pleasing,Sports Ground,1,15:00,120,80,0,true
e_033,Cricket T10 Tournament,Sports,"A fast-format T10 cricket tournament with teams of 11 playing 10-over matches. Knockout format leading to a final on the last day. Flat pitch good outfield and standard cricket rules apply. Umpires provided. Batting bowling and fielding statistics tracked throughout the tournament.",cricket T10 tournament batting bowling fielding knockout sports outdoor competitive,Cricket Ground,1,08:00,480,200,0,false
e_034,Badminton Championship,Sports,"A badminton doubles championship open to all participants. Knockout format across men's women's and mixed doubles categories. Standard court lighting and shuttlecocks provided. Players must bring their own rackets. Best of 3 games format with rally-point scoring.",badminton doubles championship indoor sports knockout mixed womens mens competitive court,Sports Hall,2,08:00,480,100,0,false
e_035,Chess Masters,Sports,"A classical time-controlled chess tournament with participants competing in a Swiss-system format over multiple rounds. Both beginner and advanced sections available. Clock time: 15 minutes plus 10-second increment per move. FIDE standard rules apply. Rating certificates accepted for seeding.",chess tournament strategy intellectual sports Swiss-system time-control FIDE rating beginner advanced,Seminar Hall C,1,09:00,480,50,0,true
e_036,Fashion Show,Fashion,"The grand fashion showcase of the festival where participants design and walk original outfits across categories including casual streetwear traditional ethnic fusion and avant-garde. A professional runway with lighting and music. Judged on design originality presentation styling and walk. Open to all genders.",fashion-show runway design styling streetwear ethnic fusion avant-garde walk presentation original,Main Stage,2,18:00,90,400,0,false
e_037,Cosplay Contest,Fashion,"A cosplay competition where participants dress as characters from anime manga video games movies superhero universes and pop culture. Categories include best accuracy best original design and best group cosplay. Craftsmanship of the costume is a key judging criterion alongside character portrayal.",cosplay anime manga video-games superhero pop-culture costume accuracy craftsmanship character-portrayal,Cultural Hall,3,15:00,300,400,0,true
e_038,Mr and Ms Fest,Fashion,"The prestige personality contest of SmartFest where participants compete across rounds including personality interview talent and group activity. Looking for the complete package of confidence communication style and social presence. Open to all current students. Past winners have gone on to national pageant competitions.",personality-contest confidence communication style mr-ms pageant interview talent social-presence prestigious,Auditorium,3,17:00,180,500,0,false
e_039,Rangoli Competition,Art,"A traditional and contemporary Rangoli design competition where teams create large intricate floor designs using colored powder flowers petals and creative materials. Both traditional patterns and modern freestyle designs accepted. Judged on complexity color harmony symmetry and creativity. Natural and artificial materials allowed.",rangoli floor-design color powder flowers traditional contemporary symmetry creativity teamwork,Open Grounds,2,08:00,240,80,0,true
e_040,Mehndi Competition,Art,"A mehndi (henna art) competition for individuals and teams. Participants create intricate henna designs on hands and arms. Categories include bridal traditional geometric and contemporary abstract styles. Judged on intricacy precision design originality and finishing quality. Materials provided.",mehndi henna art competition bridal traditional geometric abstract intricate precision hands arms,Art Studio,1,13:00,180,60,0,true
e_041,Anime Screening Night,Entertainment,"An organized overnight anime screening event featuring classic and modern anime films and series episodes. Includes Spirited Away Your Name Demon Slayer and Attack on Titan special episodes. Comfortable seating snacks available for purchase. Discussion panels after each screening with trivia games.",anime screening film spirited-away demon-slayer attack-on-titan discussion panel trivia overnight entertainment,Auditorium,2,22:00,360,200,0,true
e_042,Gaming Tournament,Entertainment,"A multi-game esports tournament featuring BGMI Valorant FIFA and Chess. Both solo and team categories. High-performance gaming setup provided. Tournament bracket system with live streaming. Commentary and shoutcasting. Prizes for winners and runners-up in each game category.",gaming esports tournament BGMI Valorant FIFA chess competitive multiplayer streaming commentary prizes,Gaming Arena,1,10:00,480,150,0,true
e_043,Escape Room Challenge,Entertainment,"A real-time puzzle-solving escape room experience where teams of 4 to 5 must solve clues puzzles and riddles to escape a themed room within 45 minutes. Three different themed rooms available - haunted mansion heist and sci-fi laboratory. Multiple sessions throughout the day. Book in advance.",escape-room puzzle team time-limit haunted heist sci-fi clues solving adventure challenge,Special Venue,1,10:00,45,20,100,true
e_044,Open Mic Night,Entertainment,"A general open microphone night where anyone can perform anything - music standup poetry spoken word magic tricks juggling or anything creative. 5-minute slots. No judgment only encouragement. Perfect for first-timers nervous performers and experimental artists. The crowd is always supportive.",open-mic performance music comedy poetry magic general encouragement first-timers experimental creative,Cultural Hall,1,20:00,120,200,0,true
e_045,Food Festival,Food,"A curated food festival featuring food stalls from across India and international cuisines. Chefs and home cooks participate in cooking demonstrations. Live food tasting competitions where audience members judge. Street food regional specialties dessert stalls and fusion cuisine. All dietary preferences catered.",food festival stalls cuisine cooking tasting competition street-food regional dessert fusion vegetarian,Food Court,1,12:00,4320,1000,0,true
e_046,Photography Walk,Art,"A guided photography walk around campus and surrounding areas led by a professional photographer. Participants learn composition techniques lighting awareness street photography and the art of storytelling through images. Limited to 25 participants per session. Bring your own camera phone or DSLR.",photography walk guided composition lighting storytelling street campus DSLR phone learning outdoor,Campus Grounds,2,07:00,120,25,200,true
e_047,Yoga and Meditation Session,Wellness,"An early morning yoga and guided meditation session suitable for complete beginners. Certified yoga instructor leads participants through pranayama asanas and mindfulness practices. Mats provided. Focus on stress relief mental clarity and physical wellness during the festival. A peaceful start to the day.",yoga meditation wellness morning stress-relief mindfulness pranayama asanas beginner certified instructor,Open Grounds,1,06:00,90,100,0,true
e_048,Pottery Workshop,Art,"A hands-on pottery and clay sculpting workshop where participants learn basic wheel-throwing techniques and hand-building methods under the guidance of a professional ceramic artist. Take home your creation after it dries. All materials provided. Limited spots available - register early.",pottery clay workshop wheel-throwing hand-building ceramic sculpture take-home materials creative learning,Art Studio,3,10:00,180,20,300,true
e_049,Science Exhibition,Tech,"A public exhibition of science and engineering projects created by student teams. Displays span robotics chemistry biology renewable energy computer science and mathematics. Visitors can interact with projects ask questions and vote for their favourite exhibit. Open to all visitors throughout the fest.",science exhibition engineering projects robotics chemistry biology renewable-energy mathematics interactive public,Science Block,1,09:00,2880,500,0,true
e_050,Cultural Exchange Night,Cultural,"An intercultural celebration featuring performances food and cultural demonstrations from different Indian states and international communities. Folk dances regional music traditional games and cuisine from Kerala Punjab Maharashtra Maharashtra Maharashtra Maharashtra and North East India. A celebration of Indian diversity and unity.",cultural exchange folk-dance regional diversity India Kerala Punjab Maharashtra NorthEast food traditions community,Amphitheatre,3,18:00,120,600,0,true
